time,open,high,low,close
1726005600,1.10185,1.1055,1.10021,1.1012
1726092000,1.1011,1.10751,1.10056,1.10728
1726178400,1.10728,1.11019,1.10706,1.10737
1726437600,1.1072,1.11376,1.1072,1.11306
1726524000,1.11302,1.11462,1.11106,1.11136
1726610400,1.11134,1.11891,1.1097,1.11173
1726696800,1.11149,1.1179,1.10685,1.11614
1726783200,1.11615,1.11819,1.11362,1.11617
1727042400,1.1162,1.11672,1.10833,1.11116
1727128800,1.11102,1.1181,1.11035,1.11783
1727215200,1.1177,1.1214,1.11216,1.11323
1727301600,1.11328,1.11893,1.11258,1.11741
1727388000,1.11755,1.1203,1.11249,1.1161
1727647200,1.1155,1.12089,1.11138,1.11341
1727733600,1.11338,1.1144,1.10459,1.10682
1727820000,1.10682,1.10828,1.10327,1.10455
1727906400,1.1047,1.1049,1.10085,1.10298
1727992800,1.10298,1.10396,1.09514,1.09739
1728252000,1.0974,1.0987,1.09544,1.09705
1728338400,1.09713,1.09971,1.09611,1.09772
1728424800,1.09791,1.0981,1.09363,1.09395
1728511200,1.09404,1.09548,1.09001,1.0934
1728597600,1.0934,1.09537,1.09262,1.09353
1728856800,1.0932,1.09366,1.08883,1.09075
1728943200,1.0906,1.09168,1.0882,1.08912
1729029600,1.0892,1.09014,1.08534,1.08634
1729116000,1.08611,1.08737,1.08112,1.08304
1729202400,1.08304,1.08694,1.08254,1.0865
1729461600,1.0855,1.0872,1.08112,1.08149
1729548000,1.08143,1.08381,1.07927,1.07981
1729634400,1.07978,1.08067,1.07613,1.07812
1729720800,1.07825,1.083,1.07705,1.08273
1729807200,1.08273,1.08393,1.0793,1.0793
1730066400,1.0796,1.08276,1.07821,1.08131
1730152800,1.0813,1.08263,1.0769,1.08151
1730239200,1.08151,1.08713,1.08081,1.08578
1730325600,1.08559,1.08881,1.08444,1.08826
1730412000,1.08817,1.09057,1.08319,1.0834
1730671200,1.0852,1.09147,1.0852,1.08752
1730757600,1.08755,1.09365,1.08727,1.09288
1730844000,1.09265,1.09369,1.06827,1.07262
1730930400,1.07271,1.08247,1.0713,1.08038
1731016800,1.08025,1.0805,1.0687,1.07182
1731276000,1.0712,1.0728,1.06287,1.06534
1731362400,1.06553,1.06631,1.05952,1.06206
1731448800,1.06207,1.0654,1.05559,1.05615
1731535200,1.05617,1.05825,1.04964,1.05296
1731621600,1.05296,1.0593,1.05166,1.05394
1731880800,1.0529,1.06072,1.0529,1.05978
1731967200,1.05976,1.0601,1.05236,1.05931
1732053600,1.05931,1.061,1.05069,1.0543
1732140000,1.05431,1.0555,1.04623,1.04734
1732226400,1.04732,1.04981,1.03327,1.04193
1732485600,1.0432,1.05303,1.0432,1.04928
1732572000,1.04939,1.05448,1.04252,1.04868
1732658400,1.0486,1.05878,1.04745,1.05654
1732744800,1.0565,1.057,1.05277,1.05489
1732831200,1.05511,1.05971,1.05416,1.05751
1733090400,1.0575,1.0587,1.04608,1.04963
1733176800,1.04963,1.05351,1.04808,1.05061
1733263200,1.05061,1.05441,1.04725,1.05071
1733349600,1.05091,1.05896,1.05081,1.05839
1733436000,1.05844,1.06298,1.05424,1.05673
1733695200,1.05628,1.05945,1.05322,1.05529
1733781600,1.05529,1.05681,1.04985,1.05266
1733868000,1.05264,1.05394,1.04803,1.04935
1733954400,1.04944,1.05309,1.04638,1.04653
1734040800,1.04653,1.05242,1.04534,1.05017
1734300000,1.04966,1.05248,1.04748,1.05099
1734386400,1.05088,1.05342,1.04793,1.04904
1734472800,1.04901,1.05127,1.0344,1.03506
1734559200,1.0352,1.04224,1.03477,1.03605
1734645600,1.03616,1.04475,1.03433,1.04244
